Slice,Mean
1716,454.135
1717,511.75
1718,501.303
1719,477.067
1720,469.707
1721,459.274
1722,433.101
1723,463.005
1724,471.226
1725,453.471
1726,451.096
1727,444.12
1728,435.587
1729,464.144
1730,445.197
1731,543.981
1732,504.99
1733,468.25
1734,445.163
1735,431.899
1736,469.192
1737,446.317
1738,499.212
1739,465.043
1740,467.707
1741,447.438
1742,428.048
1743,441.264
1744,478.615
1745,487.409
1746,449.38
1747,440.106
1748,430.851
1749,450.971
1750,439.481
1751,490.971
1752,471.447
1753,440.577
1754,440.885
1755,451.707
1756,437.111
1757,462.399
1758,449.957
1759,451.212
1760,426.75
1761,428.659
1762,413.591
1763,474.635
1764,438.135
1765,428.471
1766,439.793
1767,417.106
1768,414.817
1769,462.212
1770,461.293
1771,488.481
1772,468.721
1773,442.553
1774,389.293
1775,464.798
1776,538.971
1777,503.861
1778,485.409
1779,487.159
1780,439.841
1781,460.952
1782,414.731
1783,480.644
1784,450.851
1785,500.014
1786,449.01
1787,437.514
1788,462.139
1789,424.75
1790,434.433
1791,470.62
1792,466.125
1793,465.596
1794,431.913
1795,424.438
1796,429.692
1797,503.885
1798,510.663
1799,468.514
1800,448.62
1801,433.793
1802,417.062
1803,454.625
1804,442.24
1805,478.913
1806,437.611
1807,455.716
1808,425.63
1809,437.149
1810,487.798
1811,493.529
1812,461.663
1813,437.76
1814,438.404
1815,421.692
1816,479.019
1817,490.418
1818,488.716
1819,490.394
1820,474.303
1821,456.058
1822,444.788
1823,489.971
1824,492.606
1825,490.404
1826,455.37
1827,415.303
1828,393.106
1829,463.875
1830,496.644
1831,515.567
1832,498.933
1833,477.553
1834,451.144
1835,481.875
1836,503.135
1837,512.75
1838,449.548
1839,489.591
1840,429.74
1841,430.827
1842,471.865
1843,481.034
1844,512.774
1845,480.312
1846,475.38
1847,419.654
1848,460.466
1849,496.26
1850,524.192
1851,473.399
1852,473.096
1853,449.423
1854,412.957
1855,444.005
1856,501.894
1857,506.12
1858,490.341
1859,467.149
1860,473.029
1861,437.639
1862,489.538
1863,539.106
1864,496.822
1865,468.904
1866,427.736
1867,452.971
1868,476.697
1869,516.014
1870,506.558
1871,525.462
1872,489.524
1873,433.135
1874,440.168
1875,485.918
1876,500.25
1877,466.038
1878,474.514
1879,467.534
1880,453.591
1881,467.178
1882,501.274
1883,518.558
1884,492.841
1885,460.702
1886,453.087
1887,500.649
1888,474.798
1889,478.707
1890,492.048
1891,506.75
1892,442.995
1893,411.889
1894,421.457
1895,499.154
1896,496.673
1897,495.096
1898,429.279
1899,416.832
1900,416.764
1901,416.971
1902,504.058
1903,441.538
1904,455.389
1905,407.928
1906,451.514
1907,430.774
1908,518.933
1909,511.505
1910,505.688
1911,515.856
1912,471.745
1913,495.279
1914,510.212
1915,504.726
1916,504.861
1917,472.548
1918,457.812
1919,465.471
1920,457.663
1921,458.702
1922,504.447
1923,486.245
1924,451.644
1925,470.452
1926,424.596
1927,432.74
1928,487.769
1929,468.851
1930,480.548
1931,439.192
1932,443.149
1933,457.332
1934,437.808
1935,490.913
1936,437.663
1937,453.322
1938,421.938
1939,448.332
1940,500.361
1941,491.764
1942,506.663
1943,447.341
1944,462.139
1945,429.365
1946,483.034
1947,493.067
1948,481.505
1949,446.808
1950,475.462
1951,426.269
1952,469.918
1953,462.875
1954,490.577
1955,503.918
1956,448.966
1957,443.385
1958,412
1959,476.452
1960,490.284
1961,479.135
1962,467.947
1963,477.447
1964,435.788
1965,499.966
1966,542.135
1967,517.293
1968,491.317
1969,476
1970,448.312
1971,470.716
1972,537.077
1973,500.779
1974,486.611
1975,484.096
1976,441.433
1977,409.106
1978,474.591
1979,512.188
1980,497.986
1981,449.144
1982,450.923
1983,457.524
1984,489.428
1985,504.168
1986,493.269
1987,475.197
1988,467.779
1989,456.784
1990,475.428
1991,456.524
1992,466.072
1993,447.736
1994,431.562
1995,437.226
1996,468.678
1997,499.279
1998,499.962
1999,482.644
2000,459.346
2001,469.317
2002,472.178
2003,528.269
2004,475.462
2005,449.423
2006,479.659
2007,451.043
2008,453.168
2009,467.37
2010,525.168
2011,475.519
2012,471.144
2013,444.115
2014,441.558
2015,469.183
2016,466.404
2017,467.726
2018,461.361
2019,448.635
2020,463.938
2021,511.433
2022,489.644
2023,537.096
2024,483.952
2025,430.822
2026,447.962
2027,456.986
2028,503.731
2029,508.168
2030,499.909
2031,465.457
2032,445.346
2033,448.062
2034,464.755
2035,500.962
2036,502.168
2037,457.731
2038,415.88
2039,421.428
2040,438.394
2041,498.529
2042,492.601
2043,473.913
2044,457.923
2045,456.49
2046,437.087
2047,479.399
2048,509.12
2049,475.106
2050,463.519
2051,452.986
2052,455.457
2053,493.067
2054,509.466
2055,474.505
2056,493.043
2057,441.024
2058,466.077
2059,437.63
2060,479.899
2061,501.837
2062,445.721
2063,450.514
2064,430.582
2065,402.769
2066,442.288
2067,499.048
2068,444.25
2069,444.327
2070,471.197
2071,409.793
2072,411.49
2073,482.462
2074,528.548
2075,471.572
2076,476.865
2077,443.649
2078,452.005
2079,449.26
2080,506.096
2081,488.413
2082,526.135
2083,500.327
2084,475.923
2085,431.192
2086,485.014
2087,502.322
2088,556.111
2089,486.255
2090,463.827
2091,448.202
2092,411.755
2093,476.029
2094,510.74
2095,496.361
2096,444.793
2097,441.236
2098,421.591
2099,469.12
2100,518.077
2101,496.332
2102,475.284
2103,446.091
2104,471.558
2105,433.591
2106,497.183
2107,486.668
2108,516.928
2109,471.606
2110,452.466
2111,439.986
2112,470.534
2113,487.904
2114,459.51
2115,455.649
2116,460.38
2117,424.043
2118,450.861
2119,504.596
2120,527.399
2121,471.25
2122,428.582
2123,473.178
2124,453.178
2125,492.649
2126,512.111
2127,495.716
2128,458.139
2129,460.178
2130,458.269
2131,480.938
2132,477.99
2133,456.817
2134,456.62
2135,449.832
2136,397.774
2137,433.058
